concurso,data,resultado
2135,20/03/2019, 09  23  28  40  48  59 
2137,27/03/2019, 01  02  11  12  34  49 
2138,30/03/2019, 04  13  14  21  30  34 
2120,30/01/2019, 13  20  24  25  38  41 
2129,28/02/2019, 06  12  31  32  46  60 
2140,06/04/2019, 17  20  26  36  42  54 
2143,17/04/2019, 02   12  35  51  57  58 
2141,10/04/2019, 10  11  17  19  37  41 
2145,24/04/2019, 06  08  28  51  53  59 
2144,20/04/2019, 07  16  21  33  55  60 
2136,23/03/2019,  01  08  11  22  30  35 
2146,27/04/2019, 16  18  31  39  42  44 
2149,08/05/2019, 21  23  37  44  46  48 
2142,13/04/2019, 07  40  44  50  52  57 
2139,03/04/2019, 14  23  29  41  57  58 
2110,31/12/2018, 05  10  12  18  25  33 
2150,11/05/2019, 23  24  26  38  42  49 
2148,04/05/2019, 08  15  32  33  58  59 
2152,18/05/2019, 26  29  36  49  50  59 
2157,05/06/2019, 31  33  34  35  39  48 
2153,22/05/2019, 08  13  28  31  32  33 
2158,08/06/2019, 09  27  35  45  46  59 
2159,12/06/2019, 14  26  35  38  45  53 
2160,15/06/2019, 01  19  46  47  49  53 
2154,25/05/2019, 07  25  41  47  50  53 
2147,02/05/2019, 17  19  37  41  42  49 
2164,29/06/2019, 16  17  25  47  48  58 
2156,01/06/2019, 01  06  23  26  39  49 
2165,03/07/2019, 05  37  43  49  54  56 
2166,06/07/2019, 03  19  34  44  56  58 
2162,22/06/2019, 11  16  22  30  34  42 
2161,19/06/2019, 08  09  10  24  42  44 
2170,17/07/2019, 10  21  24  36  38  51 
2151,15/05/2019, 02  14  18  29  36  38 
2172,24/07/2019, 09  24  28  37  43  57 
2167,09/07/2019, 27  37  38  43  45  54 
2171,20/07/2019, 12  13  19  36  44  55 
2175,03/08/2019, 07  25  32  43  53  55 
2176,06/08/2019, 08  23  25  39  43  44 
2173,27/07/2019, 02  09  42  44  48  50 
2178,10/08/2019, 02  16  21  42  50  56 
2168,11/07/2019, 01  04  25  27  29  37 
2177,08/08/2019, 09  11  14  31  48  51 
2179,14/08/2019, 02  13  24  35  50  54 
2174,31/07/2019, 10  15  34  36  56  60 
2180,17/08/2019, 10  12  16  21  28  38 
2155,29/05/2019, 02  06  27  37  44  47 
2182,24/08/2019, 19  22  39  46  47  59 
2186,09/09/2019, 12  18  19  27  41  46 
2185,04/09/2019, 09  18  19  22  42  47 
2163,26/06/2019, 08  18  20  24  36  45 
2183,28/08/2019, 13  26  30  34  43  51 
2189,18/09/2019, 04  11  16  22  29  33 
2190,21/09/2019, 05  09  20  25  35  53 
2184,31/08/2019, 15  36  45  51  52  59 
2188,14/09/2019, 02  17  21  28  51  60 
2193,28/09/2019, 07  08  22  27  29  42 
2194,02/10/2019, 08  16  20  21  31  34 
2195,05/10/2019, 14  24  32  38  46  53 
2192,26/09/2019, 07  16  37  53  57  59 
2197,14/10/2019, 03  11  29  35  44  57 
2196,09/10/2019, 01  25  27  28  41  56 
2200,22/10/2019, 11  15  28  36  43  55 
2201,24/10/2019, 03  13  23  41  49  53 
2202,26/10/2019, 11  29  37  38  43  60 
2203,30/10/2019, 17  34  46  49  50  57 
2191,24/09/2019, 04  08  26  33  46  53 
2204,04/11/2019, 01  28  29  32  35  56 
2205,06/11/2019, 12  21  28  37  42  57 
2181,21/08/2019, 01  08  19  33  36  48 
2199,19/10/2019, 15  23  30  35  38  44 
2198,16/10/2019, 01  11  34  36  44  56 
2209,20/11/2019, 22  25  28  32  33  47 
2210,23/11/2019, 11  17  24  25  33  34 
2212,30/11/2019, 23  26  51  52  53  58 
2213,04/12/2019, 05  07  10  32  46  60 
2214,07/12/2019, 04  10  18  30  34  47 
2215,11/12/2019, 01  19  21  23  33  43 
2216,14/12/2019, 10  24  42  43  48  49 
2211,27/11/2019, 27  36  40  41  44  54 
2207,13/11/2019, 06  10  11  43  53  55 
2217,17/12/2019, 10  14  16  30  32  36 
2219,21/12/2019, 08  28  36  45  57  59 
2220,31/12/2019, 03  35  38  40  57  58 
2218,19/12/2019, 06  16  22  38  48  52 
2222,08/01/2020, 13  14  29  30  48  59 
2223,11/01/2020, 02  26  40  42  49  56 
2169,13/07/2019, 07  34  45  51  54  59 
2225,18/01/2020, 01  32  37  44  46  47 
2224,15/01/2020, 16  23  32  50  52  58 
2226,21/01/2020, 02  04  07  16  30  38 
2221,04/01/2020, 05  23  34  45  56  57 
2208,16/11/2019, 16  25  30  40  45  49 
2228,25/01/2020, 09  19  23  32  39  45 
2206,09/11/2019, 06  27  38  42  45  57 
2227,23/01/2020, 06  09  12  27  32  57 
2232,08/02/2020, 07  08  31  34  38  47 
2231,05/02/2020, 04  13  25  40  53  57 
2234,15/02/2020, 04  21  27  29  42  47 
2187,11/09/2019, 10  11  16  21  46  50 
2236,22/02/2020, 07  20  38  43  45  53 
2237,27/02/2020, 11  20  27  28  53  60 
